Outcome	drug	Outcome2
No-Effect	upadacitinib	No-Effect
Very Weak (35%)	seladelpar	Very Weak (35%)
No-Effect	tenalisib	No-Effect
No-Effect	MK-1064	No-Effect
No-Effect	adavivint	No-Effect
No-Effect	derazantinib	No-Effect
No-Effect	JI-101	No-Effect
No-Effect	edasalonexent	No-Effect
No-Effect	roluperidone	No-Effect
No-Effect	PF-06650833	No-Effect
No-Effect	COTI-2	No-Effect
No-Effect	leniolisib	No-Effect
No-Effect	GSK2981278	No-Effect
No-Effect	AZD5069	No-Effect
Weak (50%)	ombrabulin	Weak (50%)
Weak (50%)	AZD9056	Weak (50%)
No-Effect	acebilustat	No-Effect
No-Effect	prinomastat	No-Effect
Manual Inspection	oglufanide	No-Effect
No-Effect	vericiguat	No-Effect
Manual Inspection	risdiplam	No-Effect
No-Effect	BMS-582949	No-Effect
Strong (80%)	Debio-0932	Strong (80%)
No-Effect	alisporivir	No-Effect
No-Effect	RAD140	No-Effect
No-Effect	cipargamin	No-Effect
Manual Inspection	verucerfont	No-Effect
No-Effect	incyclinide	No-Effect
Cyto	ziritaxestat	Cyto
No-Effect	amcasertib	No-Effect
No-Effect	BMS-779788	No-Effect
No-Effect	ABX-1431	No-Effect
Low (25%)	INX-08189	Low (25%)
No-Effect	olodanrigan	No-Effect
Cyto	crolibulin	Cyto
No-Effect	argireline	No-Effect
No-Effect	belotecan	No-Effect
No-Effect	WAY-100635	No-Effect
No-Effect	ZD-7114	No-Effect
Strong (80%)	flumatinib	Strong (80%)
No-Effect	otenzepad	No-Effect
No-Effect	anacetrapib	No-Effect
No-Effect	pilaralisib	No-Effect
No-Effect	T-5224	No-Effect
Strong (80%)	GSK461364	Strong (80%)
No-Effect	PH-797804	No-Effect
No-Effect	CF102	No-Effect
No-Effect	1,5-dicaffeoylquinic-acid	No-Effect
No-Effect	CX-5461	No-Effect
No-Effect	TIC10	No-Effect
No-Effect	balaglitazone	No-Effect
No-Effect	procyanidin-B-2	No-Effect
Strong (80%)	emetine	Strong (80%)
No-Effect	BMS-626529	No-Effect
No-Effect	IOWH032	No-Effect
No-Effect	adenosine-triphosphate	No-Effect
No-Effect	BMS-777607	No-Effect
No-Effect	AZD3514	No-Effect
Manual Inspection	AZD7545	No-Effect
Cyto	oprozomib	Cyto
No-Effect	proflavine-hemisulfate	No-Effect
No-Effect	LCL-161	No-Effect
No-Effect	EVP-6124	No-Effect
No-Effect	BVD-523	No-Effect
No-Effect	VT-464	No-Effect
No-Effect	sotagliflozin	No-Effect
No-Effect	AZD5363	No-Effect
No-Effect	broxuridine	No-Effect
No-Effect	mocetinostat	No-Effect
No-Effect	orphanin-fq	No-Effect
No-Effect	vanoxerine	No-Effect
No-Effect	sulmazole	No-Effect
Low (25%)	LTX-315	Low (25%)
No-Effect	methylcobalamin	No-Effect
No-Effect	benzamil	No-Effect
No-Effect	etazolate	No-Effect
No-Effect	MDL-73005EF	No-Effect
No-Effect	tacrolimus	No-Effect
No-Effect	levocarnitine-propionate	No-Effect
No-Effect	fimasartan	No-Effect
No-Effect	ergocalciferol	No-Effect
No-Effect	vinflunine	No-Effect
No-Effect	carteolol	No-Effect
No-Effect	N-acetyl-tyrosine	No-Effect
No-Effect	ceramide	No-Effect
No-Effect	cefotiam	No-Effect
No-Effect	cefotetan	No-Effect
No-Effect	ascorbic-acid	No-Effect
No-Effect	vasopressin	No-Effect
No-Effect	chloroprocaine	No-Effect
No-Effect	polidocanol	No-Effect
No-Effect	mupirocin	No-Effect
No-Effect	praziquantel	No-Effect
Manual Inspection	atovaquone	No-Effect
No-Effect	morniflumate	No-Effect
No-Effect	diclofenac	No-Effect
No-Effect	dextran	No-Effect
No-Effect	dexrazoxane	No-Effect
No-Effect	calcifediol	No-Effect
No-Effect	oxyfedrine	No-Effect
No-Effect	mabuterol	No-Effect
No-Effect	cyamemazine	No-Effect
No-Effect	rosoxacin	No-Effect
Manual Inspection	silver-sulfadiazine	No-Effect
Manual Inspection	imidacloprid	No-Effect
No-Effect	dibekacin	No-Effect
No-Effect	acebutolol	No-Effect
No-Effect	morinidazole	No-Effect
No-Effect	gonadorelin	No-Effect
No-Effect	ribostamycin-sulfate	No-Effect
No-Effect	bacampicillin	No-Effect
No-Effect	gluconolactone	No-Effect
No-Effect	niraparib	No-Effect
No-Effect	linsidomine	No-Effect
No-Effect	mecamylamine	No-Effect
No-Effect	acrisorcin	No-Effect
Manual Inspection	naloxegol	No-Effect
Low (25%)	hematoporphyrin	Low (25%)
No-Effect	caffeine	No-Effect
No-Effect	cefetamet-pivoxil	No-Effect
No-Effect	isepamicin	No-Effect
No-Effect	faropenem	No-Effect
No-Effect	nintedanib	No-Effect
No-Effect	thiotepa	No-Effect
No-Effect	nimustine	No-Effect
No-Effect	1S,2R-phenylpropanolamine	No-Effect
No-Effect	cisplatin	No-Effect
No-Effect	ibuprofen-piconol	No-Effect
No-Effect	nitenpyram	No-Effect
No-Effect	fipexide	No-Effect
Manual Inspection	gabapentin-enacarbil	No-Effect
No-Effect	desoxycorticosterone-pivalate	No-Effect
No-Effect	ornithine	No-Effect
No-Effect	midostaurin	No-Effect
No-Effect	flunarizine	No-Effect
No-Effect	quinaprilat	No-Effect
No-Effect	cyclandelate	No-Effect
No-Effect	eprosartan	No-Effect
No-Effect	methapyrilene	No-Effect
No-Effect	trazodone	No-Effect
No-Effect	olmesartan	No-Effect
No-Effect	penicillamine-(racemic)	No-Effect
No-Effect	debrisoquin	No-Effect
No-Effect	lutein	No-Effect
No-Effect	elvitegravir	No-Effect
No-Effect	carumonam	No-Effect
No-Effect	cefepime	No-Effect
Manual Inspection	tizanidine	No-Effect
No-Effect	penbutolol	No-Effect
Strong (80%)	proscillaridin-A	Strong (80%)
No-Effect	butibufen	No-Effect
No-Effect	axitinib	No-Effect
No-Effect	mephentermine	No-Effect
No-Effect	lercanidipine	No-Effect
Manual Inspection	ioxaglic-acid	No-Effect
No-Effect	cefalonium	No-Effect
No-Effect	ethaverine	No-Effect
No-Effect	PF-04136309	No-Effect
No-Effect	SCH-900776	No-Effect
No-Effect	delta-tocotrienol	No-Effect
Weak (50%)	puerarin	Weak (50%)
No-Effect	lupanine	No-Effect
Low (25%)	ABT-751	Low (25%)
Manual Inspection	licostinel	No-Effect
Very Weak (35%)	lurbinectedin	Very Weak (35%)
No-Effect	avacopan	No-Effect
No-Effect	MK-3207	No-Effect
No-Effect	CP-945,598	No-Effect
No-Effect	maribavir	No-Effect
No-Effect	tanshinone-IIA	No-Effect
No-Effect	SB-683698	No-Effect
No-Effect	tasisulam	No-Effect
No-Effect	cipamfylline	No-Effect
No-Effect	alovudine	No-Effect
No-Effect	fezolinetant	No-Effect
No-Effect	karenitecin	No-Effect
Low (25%)	linifanib	Low (25%)
No-Effect	TRV130	No-Effect
No-Effect	ipsapirone	No-Effect
No-Effect	LY2874455	No-Effect
No-Effect	MLN8054	No-Effect
Manual Inspection	efaroxan	No-Effect
No-Effect	NO-ASA	No-Effect
No-Effect	CB-10-277	No-Effect
No-Effect	ozenoxacin	No-Effect
No-Effect	lasmiditan	No-Effect
No-Effect	KD025	No-Effect
No-Effect	cepharanthine	No-Effect
No-Effect	unbs-5162	No-Effect
No-Effect	firategrast	No-Effect
Manual Inspection	cevipabulin	No-Effect
No-Effect	andarine	No-Effect
Manual Inspection	SEP-227900	No-Effect
No-Effect	amenamevir	No-Effect
No-Effect	indeglitazar	No-Effect
Weak (50%)	nemiralisib	Weak (50%)
No-Effect	pafuramidine	No-Effect
No-Effect	PF-477736	No-Effect
No-Effect	crenolanib	No-Effect
No-Effect	cinchonidine	No-Effect
No-Effect	tozadenant	No-Effect
No-Effect	pardoprunox	No-Effect
No-Effect	R-1479	No-Effect
No-Effect	remetinostat	No-Effect
No-Effect	BMS-986020	No-Effect
Manual Inspection	DPCPX	No-Effect
No-Effect	SR-140333	No-Effect
No-Effect	SC-12267	No-Effect
No-Effect	epothilone-D	No-Effect
No-Effect	hymecromone	No-Effect
No-Effect	PF-04447943	No-Effect
No-Effect	PYM50028	No-Effect
No-Effect	URB597	No-Effect
No-Effect	dimesna	No-Effect
No-Effect	IB-MECA	No-Effect
Strong (80%)	bruceantin	Strong (80%)
No-Effect	cytochalasin-B	No-Effect
No-Effect	dalcetrapib	No-Effect
Manual Inspection	NSI-189	No-Effect
No-Effect	ALX-5407	No-Effect
No-Effect	camptothecin	No-Effect
No-Effect	ARRY-334543	No-Effect
No-Effect	loreclezole	No-Effect
No-Effect	desoxypeganine	No-Effect
No-Effect	LY2090314	No-Effect
No-Effect	APD668	No-Effect
No-Effect	darglitazone	No-Effect
No-Effect	AVL-292	No-Effect
No-Effect	AMG-487-(+/-)	No-Effect
No-Effect	CI-966	No-Effect
No-Effect	nibentan	No-Effect
No-Effect	idalopirdine	No-Effect
No-Effect	etrabamine	No-Effect
No-Effect	mCPP	No-Effect
No-Effect	CNQX	No-Effect
Strong (80%)	balicatib	Strong (80%)
No-Effect	TMC-353121	No-Effect
No-Effect	RG7112	No-Effect
No-Effect	ABT-491	No-Effect
No-Effect	tetraethylenepentamine	No-Effect
No-Effect	antimonyl	No-Effect
No-Effect	lappaconite	No-Effect
Low (25%)	BGT226	Low (25%)
No-Effect	VX-765	No-Effect
No-Effect	PF-03814735	No-Effect
No-Effect	cebranopadol	No-Effect
No-Effect	hydrocortisone-hemisuccinate	No-Effect
Manual Inspection	esculin	No-Effect
No-Effect	fosfructose	No-Effect
Strong (80%)	K-strophanthidin	Strong (80%)
No-Effect	PCO-400	No-Effect
No-Effect	matrine	No-Effect
No-Effect	rifamycin-sv	No-Effect
No-Effect	pibenzimol	No-Effect
No-Effect	ARQ-621	No-Effect
No-Effect	orteronel	No-Effect
No-Effect	SK&F-10047-(+)	No-Effect
No-Effect	salirasib	No-Effect
No-Effect	TAK-875	No-Effect
Manual Inspection	NKP-1339	No-Effect
No-Effect	VTP-27999	No-Effect
No-Effect	GSK256066	No-Effect
Weak (50%)	semapimod	Weak (50%)
No-Effect	GDC-0834	No-Effect
No-Effect	CH-5183284	No-Effect
No-Effect	poziotinib	No-Effect
No-Effect	cutamesine	No-Effect
No-Effect	ACTB-1003	No-Effect
No-Effect	hypericin	No-Effect
No-Effect	capadenoson	No-Effect
No-Effect	evacetrapib	No-Effect
Weak (50%)	taltobulin	Weak (50%)
No-Effect	BAY-87-2243	No-Effect
No-Effect	GSK1070916	No-Effect
No-Effect	NMS-1286937	No-Effect
No-Effect	BW-180C	No-Effect
No-Effect	LY2801653	No-Effect
No-Effect	SB-705498	No-Effect
No-Effect	F-11440	No-Effect
No-Effect	TAS-103	No-Effect
No-Effect	Z160	No-Effect
No-Effect	pelitinib	No-Effect
No-Effect	AT-7519	No-Effect
No-Effect	VX-222	No-Effect
No-Effect	AZD9668	No-Effect
Weak (50%)	nemorubicin	Weak (50%)
No-Effect	licochalcone-A	No-Effect
No-Effect	otamixaban	No-Effect
No-Effect	MK-2461	No-Effect
No-Effect	dichlorisone-acetate	No-Effect
No-Effect	succinylsulfathiazole	No-Effect
No-Effect	SB-242235	No-Effect
No-Effect	nesbuvir	No-Effect
No-Effect	LY2603618	No-Effect
No-Effect	API-001	No-Effect
No-Effect	5-hydroxymethyl-tolterodine	No-Effect
No-Effect	ZSTK-474	No-Effect
No-Effect	bavisant	No-Effect
No-Effect	SB-742457	No-Effect
Cyto	TG-02	Cyto
No-Effect	tideglusib	No-Effect
Strong (80%)	WP1066	Strong (80%)
No-Effect	GDC-0349	No-Effect
No-Effect	palovarotene	No-Effect
No-Effect	adoprazine	No-Effect
No-Effect	EMD-1214063	No-Effect
No-Effect	adarotene	No-Effect
No-Effect	radezolid	No-Effect
No-Effect	N6022	No-Effect
No-Effect	siramesine	No-Effect
No-Effect	omecamtiv-mecarbil	No-Effect
No-Effect	fiacitabine	No-Effect
No-Effect	LMI070	No-Effect
No-Effect	lorglumide	No-Effect
No-Effect	tonabersat	No-Effect
Manual Inspection	ganetespib	Weak (50%)
No-Effect	MBX-2982	No-Effect
Very Weak (35%)	XL647	Very Weak (35%)
No-Effect	AZD1480	No-Effect
No-Effect	rapastinel	No-Effect
Manual Inspection	eltoprazine	No-Effect
No-Effect	CB-839	No-Effect
No-Effect	tacedinaline	No-Effect
No-Effect	rubitecan	No-Effect
No-Effect	3,3'-diindolylmethane	No-Effect
No-Effect	siguazodan	No-Effect
No-Effect	MK-0752	No-Effect
No-Effect	RWJ-21757	No-Effect
No-Effect	selumetinib	No-Effect
No-Effect	dihomo-gamma-linolenic-acid	No-Effect
No-Effect	5-HMF	No-Effect
No-Effect	FG-4592	No-Effect
No-Effect	foxy-5	No-Effect
Manual Inspection	telenzepine	No-Effect
No-Effect	epacadostat	No-Effect
No-Effect	carmoxirole	No-Effect
No-Effect	gamma-linolenic-acid	No-Effect
No-Effect	dazoxiben	No-Effect
No-Effect	bakuchiol	No-Effect
No-Effect	dovitinib	No-Effect
No-Effect	GDC-0994	No-Effect
No-Effect	MK-1775	No-Effect
No-Effect	ACY-1215	No-Effect
No-Effect	traxoprodil	No-Effect
No-Effect	latrepirdine	No-Effect
Manual Inspection	pruvanserin	No-Effect
No-Effect	AZD8330	No-Effect
Weak (50%)	napabucasin	Weak (50%)
No-Effect	birinapant	No-Effect
Weak (50%)	IKK-2-inhibitor-V	Weak (50%)
No-Effect	tanaproget	No-Effect
No-Effect	OPC-21268	No-Effect
No-Effect	zeatin	No-Effect
No-Effect	AZD9496	No-Effect
Low (25%)	idazoxan	Low (25%)
Manual Inspection	talmapimod	No-Effect
No-Effect	alisertib	No-Effect
No-Effect	APR-246	No-Effect
No-Effect	CP-532623	No-Effect
No-Effect	pincainide	No-Effect
No-Effect	WY-16922	No-Effect
No-Effect	gepon	No-Effect
No-Effect	MUT056399	No-Effect
No-Effect	MRK-409	No-Effect
No-Effect	ARQ-092	No-Effect
No-Effect	CUR-61414	No-Effect
No-Effect	MR-948	No-Effect
No-Effect	ALS-8112	No-Effect
No-Effect	sari-59-801	No-Effect
No-Effect	LM11A-31	No-Effect
No-Effect	alafosfalin	No-Effect
No-Effect	bupicomide	No-Effect
No-Effect	immethridine	No-Effect
No-Effect	terameprocol	No-Effect
No-Effect	osemozotan	No-Effect
No-Effect	isotiquimide	No-Effect
No-Effect	antagonist-g	No-Effect
No-Effect	2-oleoylglycerol	No-Effect
No-Effect	terciprazine	No-Effect
No-Effect	eterobarb	No-Effect
No-Effect	TAK-593	No-Effect
No-Effect	xanomeline	No-Effect
No-Effect	GSK1059615	No-Effect
No-Effect	DBPR108	No-Effect
No-Effect	LY3000328	No-Effect
No-Effect	PT-2385	No-Effect
Manual Inspection	U-75799E	No-Effect
No-Effect	BRL-26314	No-Effect
No-Effect	INT-767	No-Effect
No-Effect	GLPG0492-R-enantiomer	No-Effect
No-Effect	CKD-712	No-Effect
No-Effect	AMG-548	No-Effect
No-Effect	AC1NDSS5	No-Effect
No-Effect	PLX8394	No-Effect
No-Effect	LY450108	No-Effect
No-Effect	integrin-antagonist-1	No-Effect
No-Effect	piracetam	No-Effect
No-Effect	hydrochlorothiazide	No-Effect
No-Effect	simvastatin	No-Effect
No-Effect	adenosine	No-Effect
Manual Inspection	progesterone	Weak (50%)
No-Effect	zilpaterol	No-Effect
No-Effect	terguride	No-Effect
No-Effect	carazolol	No-Effect
No-Effect	retinyl-palmitate	No-Effect
No-Effect	roflumilast	No-Effect
No-Effect	fluphenazine-decanoate	No-Effect
No-Effect	budesonide	No-Effect
Very Weak (35%)	lenalidomide	Very Weak (35%)
No-Effect	methyclothiazide	No-Effect
No-Effect	eflornithine	No-Effect
No-Effect	chloramphenicol	No-Effect
No-Effect	epomediol	No-Effect
No-Effect	quinine-ethyl-carbonate	No-Effect
No-Effect	ketotifen	No-Effect
No-Effect	potassium-canrenoate	No-Effect
No-Effect	beta-elemene	No-Effect
No-Effect	sulmetozine	No-Effect
No-Effect	hyaluronic-acid	No-Effect
No-Effect	eluxadoline	No-Effect
No-Effect	paritaprevir	No-Effect
No-Effect	quinagolide	No-Effect
No-Effect	dichlorophen	No-Effect
Very Weak (35%)	L-glutamic-acid	Very Weak (35%)
No-Effect	L-cysteine	No-Effect
No-Effect	xipamide	No-Effect
No-Effect	cinepazet	No-Effect
No-Effect	tolperisone	No-Effect
No-Effect	isosorbide	No-Effect
No-Effect	famotidine	No-Effect
No-Effect	tetracaine	No-Effect
No-Effect	limaprost-alfadex	No-Effect
No-Effect	eucalyptol	No-Effect
No-Effect	entecavir	No-Effect
No-Effect	emorfazone	No-Effect
No-Effect	griseofulvin	No-Effect
Manual Inspection	nifenalol	No-Effect
No-Effect	gadopentetic-acid	No-Effect
No-Effect	dimethicone	No-Effect
Very Weak (35%)	thiostrepton	Very Weak (35%)
Low (25%)	amphotericin-b	Low (25%)
No-Effect	rasagiline	No-Effect
No-Effect	sodium-gualenate	No-Effect
Very Weak (35%)	tretinoin	Very Weak (35%)
Weak (50%)	tasimelteon	Weak (50%)
Strong (80%)	mycophenolic-acid	Strong (80%)
Very Weak (35%)	butalbital	Very Weak (35%)
No-Effect	clomethiazole	No-Effect
No-Effect	dithranol	No-Effect
No-Effect	triprolidine	No-Effect
Strong (80%)	amitriptyline	Strong (80%)
No-Effect	methicillin	No-Effect
No-Effect	troglitazone	No-Effect
Very Weak (35%)	riboflavin-5-phosphate-sodium	Very Weak (35%)
Weak (50%)	coenzyme-A	Weak (50%)
Low (25%)	baloxavir-marboxil	Low (25%)
Low (25%)	fluphenazine	Low (25%)
Very Weak (35%)	cefodizime	Very Weak (35%)
No-Effect	yohimbine	No-Effect
No-Effect	revaprazan	No-Effect
No-Effect	fosfosal	No-Effect
No-Effect	vesnarinone	No-Effect
No-Effect	clioquinol	No-Effect
No-Effect	oxyclozanide	No-Effect
Strong (80%)	clorotepine	Strong (80%)
Strong (80%)	amodiaquine	Strong (80%)
Low (25%)	isoleucine	Low (25%)
No-Effect	thioctic-acid	No-Effect
Low (25%)	hydrocortisone-phosphate	Low (25%)
Very Weak (35%)	calcitriol	Very Weak (35%)
Low (25%)	sivelestat	Low (25%)
No-Effect	cilostazol	No-Effect
Low (25%)	cetirizine	Low (25%)
Very Weak (35%)	olaparib	Very Weak (35%)
Very Weak (35%)	olmutinib	Very Weak (35%)
Low (25%)	clofedanol	Low (25%)
No-Effect	florfenicol	No-Effect
No-Effect	chlortetracycline	No-Effect
No-Effect	acenocoumarol	No-Effect
No-Effect	bupivacaine	No-Effect
No-Effect	tolterodine	No-Effect
Weak (50%)	carfilzomib	Weak (50%)
No-Effect	sarpogrelate	No-Effect
No-Effect	perfluorohexyloctane	No-Effect
Manual Inspection	azathioprine	No-Effect
No-Effect	cefminox	No-Effect
No-Effect	fluorescein	No-Effect
Low (25%)	betamethasone-butyrate-propionate	Low (25%)
Very Weak (35%)	nedaplatin	Very Weak (35%)
No-Effect	bekanamycin	No-Effect
No-Effect	BTS-54505	No-Effect
Weak (50%)	ciclesonide	No-Effect
No-Effect	furosemide	No-Effect
No-Effect	rosmarinic-acid	No-Effect
No-Effect	octreotide	No-Effect
No-Effect	ACT-132577	No-Effect
Low (25%)	fenoldopam	Low (25%)
No-Effect	demeclocycline	No-Effect
No-Effect	isopentyl-4-methoxycinnamate	No-Effect
Low (25%)	copanlisib	Low (25%)
No-Effect	cabazitaxel	No-Effect
No-Effect	emtricitabine	No-Effect
Low (25%)	thymol	Low (25%)
No-Effect	bumetanide	No-Effect
Manual Inspection	triflusal	No-Effect
Manual Inspection	lomustine	No-Effect
No-Effect	eribulin	No-Effect
No-Effect	glecaprevir	No-Effect
No-Effect	cefadroxil	No-Effect
No-Effect	tafamidis-meglumine	No-Effect
Very Weak (35%)	biperiden	Very Weak (35%)
No-Effect	indalpine	No-Effect
No-Effect	chlormidazole	No-Effect
No-Effect	tocainide	No-Effect
No-Effect	prasugrel	No-Effect
No-Effect	salmeterol	No-Effect
No-Effect	losartan	No-Effect
Low (25%)	ethoxzolamide	Low (25%)
No-Effect	fludroxycortide	No-Effect
No-Effect	albendazole	No-Effect
Cyto	mepacrine	Cyto
Manual Inspection	idebenone	No-Effect
No-Effect	metirosine	No-Effect
No-Effect	epirizole	No-Effect
No-Effect	cantharidin	No-Effect
Low (25%)	trimethadione	Low (25%)
No-Effect	thymopentin	No-Effect
Manual Inspection	procainamide	No-Effect
No-Effect	netilmicin	No-Effect
Low (25%)	lincomycin	Low (25%)
No-Effect	ranolazine	No-Effect
No-Effect	diosmin	No-Effect
No-Effect	paliperidone	No-Effect
Weak (50%)	chlorothymol	Weak (50%)
No-Effect	omega-3-acid-esters	No-Effect
Low (25%)	fosaprepitant-dimeglumine	Low (25%)
Very Weak (35%)	ilaprazole	Very Weak (35%)
No-Effect	acrivastine	No-Effect
No-Effect	deferasirox-iron-chelate	No-Effect
No-Effect	moxalactam	No-Effect
No-Effect	iproniazid	No-Effect
No-Effect	chlorthalidone	No-Effect
No-Effect	ipriflavone	No-Effect
Manual Inspection	inosine	No-Effect
Low (25%)	trifluridine	Low (25%)
No-Effect	sulisobenzone	No-Effect
Very Weak (35%)	saroglitazar	Very Weak (35%)
No-Effect	hyoscyamine	No-Effect
Strong (80%)	acepromazine	Strong (80%)
Low (25%)	doxercalciferol	Low (25%)
No-Effect	abemaciclib	No-Effect
No-Effect	sapropterin	No-Effect
Weak (50%)	fudosteine	No-Effect
Low (25%)	zotepine	Low (25%)
Low (25%)	candicidin	Low (25%)
No-Effect	octenidine	No-Effect
No-Effect	telmisartan	No-Effect
No-Effect	ramipril	No-Effect
No-Effect	letermovir	No-Effect
No-Effect	iopanic-acid	No-Effect
No-Effect	tylosin	No-Effect
No-Effect	doramectin	No-Effect
No-Effect	tezacaftor	No-Effect
No-Effect	vardenafil	No-Effect
No-Effect	spiramycin	No-Effect
No-Effect	bazedoxifene	No-Effect
No-Effect	methylprednisolone-sodium-succinate	No-Effect
No-Effect	dasabuvir	No-Effect
No-Effect	trimetazidine	No-Effect
No-Effect	naratriptan	No-Effect
Manual Inspection	triflupromazine	No-Effect
No-Effect	laropiprant	No-Effect
No-Effect	abiraterone	No-Effect
No-Effect	hydrocortisone-acetate	No-Effect
Manual Inspection	chlorphenamine	No-Effect
No-Effect	sulfanitran	No-Effect
No-Effect	cephalothin	No-Effect
Low (25%)	vincamine	Low (25%)
No-Effect	trihexyphenidyl	No-Effect
Manual Inspection	palonosetron	No-Effect
No-Effect	daptomycin	No-Effect
No-Effect	danazol	No-Effect
No-Effect	piperacetazine	No-Effect
No-Effect	etravirine	No-Effect
No-Effect	quinestrol	No-Effect
No-Effect	orbifloxacin	No-Effect
No-Effect	paricalcitol	No-Effect
No-Effect	methylnaltrexone	No-Effect
No-Effect	abiraterone-acetate	No-Effect
No-Effect	isoxsuprine	No-Effect
No-Effect	riociguat	No-Effect
No-Effect	solifenacin-succinate	No-Effect
No-Effect	teneligliptin	No-Effect
Low (25%)	medrysone	Low (25%)
No-Effect	oxethazaine	No-Effect
No-Effect	aurothioglucose	No-Effect
No-Effect	dyphylline	No-Effect
No-Effect	indapamide	No-Effect
No-Effect	benfluorex	No-Effect
No-Effect	pergolide	No-Effect
No-Effect	esmolol	No-Effect
No-Effect	balofloxacin	No-Effect
No-Effect	mebeverine	No-Effect
Weak (50%)	toltrazuril	Weak (50%)
Very Weak (35%)	icotinib	Very Weak (35%)
No-Effect	desonide	No-Effect
No-Effect	mizolastine	No-Effect
Strong (80%)	pimavanserin	Strong (80%)
No-Effect	tedizolid	No-Effect
No-Effect	luliconazole	No-Effect
No-Effect	zuclopenthixol	No-Effect
No-Effect	lesinurad	No-Effect
No-Effect	torasemide	No-Effect
Low (25%)	lafutidine	Low (25%)
Low (25%)	sertindole	Low (25%)
No-Effect	mirabegron	No-Effect
Low (25%)	eprobemide	Low (25%)
No-Effect	oxolamine	No-Effect
No-Effect	fesoterodine	No-Effect
No-Effect	suloctidil	No-Effect
No-Effect	ethynodiol-diacetate	No-Effect
No-Effect	anlotinib	No-Effect
No-Effect	silibinin	No-Effect
No-Effect	olsalazine	No-Effect
No-Effect	tecovirimat	No-Effect
Manual Inspection	sparfloxacin	No-Effect
No-Effect	suxibuzone	No-Effect
No-Effect	flunisolide	No-Effect
No-Effect	bephenium-hydroxynaphthoate	No-Effect
Low (25%)	carprofen	Low (25%)
No-Effect	temefos	No-Effect
No-Effect	vernakalant	No-Effect
No-Effect	cefradine	No-Effect
Weak (50%)	tilorone	Weak (50%)
No-Effect	naftidrofuryl	No-Effect
Low (25%)	flumethasone	Low (25%)
No-Effect	sulfathiazole	No-Effect
No-Effect	pramoxine	No-Effect
No-Effect	amprolium	No-Effect
No-Effect	propoxycaine	No-Effect
No-Effect	etacrynic-acid	No-Effect
No-Effect	hydroquinidine	No-Effect
No-Effect	sulfamerazine	No-Effect
No-Effect	tenofovir-disoproxil	No-Effect
No-Effect	alimemazine	No-Effect
No-Effect	fingolimod	No-Effect
No-Effect	triamterene	No-Effect
No-Effect	sulfadoxine	No-Effect
No-Effect	dapsone	No-Effect
No-Effect	ropivacaine	No-Effect
No-Effect	loxoprofen	No-Effect
No-Effect	isoniazid	No-Effect
No-Effect	guanidine	No-Effect
No-Effect	dienestrol	No-Effect
Low (25%)	cyclobenzaprine	Low (25%)
No-Effect	zaltoprofen	No-Effect
No-Effect	pregnenolone	No-Effect
No-Effect	atropine	No-Effect
No-Effect	pramiracetam	No-Effect
No-Effect	metoclopramide	No-Effect
No-Effect	avobenzone	No-Effect
No-Effect	diosmetin	No-Effect
